label,timestamp,total_received,throughput_pps,flow1_first_ms,flow1_p95_ms,loss_percent
single,1762886732,94368,786.400,1.419,115444.829,0.008
multi-worker,1762886857,103411,861.758,0.000,115417.376,-12.116
gedf,1762886981,105151,876.258,0.000,115227.765,-14.485
gedf-vd,1762887106,105354,877.950,0.000,114332.008,-15.611
single,1762888659,86607,721.725,1.812,116278.052,5.762
multi-worker,1762888833,50736,422.800,0.000,45403.407,52.812
gedf,1762888957,87458,728.817,1.514,115007.386,1.455
gedf-vd,1762889082,96873,807.275,0.000,114867.581,-15.678
default,1762890361,92009,766.742,1.204,115730.116,0.012
default,1762929775,94410,786.750,0.978,115866.569,0.004
default,1762929924,94982,791.517,1.525,115845.169,0.007
default,1762930716,92684,772.367,35.752,115190.366,4.639
default,1762931106,94645,788.708,0.993,115015.960,0.010
default,1763062418,107513,895.942,1.026,65169.388,0.007
default,1763063538,96917,807.642,1.353,115802.016,0.019
default,1763063763,98203,818.358,4.552,115640.836,0.164
default,1763064296,97578,813.150,4.335,115801.946,0.015
default,1763064486,96855,807.125,1.358,115893.536,0.014
default,1763098006,97820,815.167,2.022,115815.351,0.011
default,1763098198,97421,811.842,1.941,115826.739,0.018
default,1763098596,97160,809.667,1.458,115841.182,0.015
default,1763099045,97363,811.358,0.981,115830.629,0.020
default,1763100197,97862,815.517,1.528,115736.232,0.017
default,1763100588,97456,812.133,1.316,115817.415,0.012
default,1763100822,97377,811.475,0.991,115822.096,0.018
default,1763100998,96679,805.658,0.921,115815.441,0.023
default,1763101153,96430,803.583,1.444,115743.811,0.025
default,1763101466,76779,639.825,1.514,115873.206,20.037
default,1763101648,86648,722.067,1.538,115785.343,9.732
default,1763101873,98607,821.725,1.373,115810.081,0.013
default,1763102276,75782,631.517,1.701,115814.626,21.109
default,1763102410,73765,614.708,1.363,115819.537,23.780
default,1763103670,97093,809.108,1.092,115806.969,0.013
default,1763104331,97837,815.308,1.688,115739.952,0.022
default,1763104520,99054,825.450,1.222,115865.324,0.030
default,1763104799,98160,818.000,0.973,115557.352,0.024
default,1763105037,97405,811.708,1.295,115764.799,0.026
default,1763105315,94863,790.525,0.905,115607.180,0.018
default,1763151143,96803,806.692,1.347,115869.546,0.124
default,1763151444,96261,802.175,1.445,115807.112,0.016
default,1763151640,96899,807.492,1.284,115793.603,0.021
default,1763194809,100653,838.775,0.874,115855.376,-4.061
default,1763195206,109818,915.150,1.234,115923.924,-15.199
default,1763195474,110030,916.917,1.032,115887.361,-15.421
default,1763195892,98274,818.950,1.380,115863.792,-1.466
default,1763196133,98593,821.608,0.972,115860.906,-1.401
default,1763196400,98434,820.283,1.187,115896.775,-1.446
default,1763196743,123149,1026.242,3.916,115738.473,-25.931
default,1763197238,120001,1000.008,1.469,115819.921,-22.961
default,1763197862,101565,846.375,1.554,115758.409,-4.183
default,1763198169,101693,847.442,1.188,115789.212,-4.177
default,1763199287,109299,910.825,2.047,115894.805,-14.858
default,1763199682,108495,904.125,0.993,115924.607,-14.210
default,1763199837,109569,913.075,1.109,115906.961,-14.940
default,1763200022,108115,900.958,1.052,115879.546,-13.466
default,1763200250,108944,907.867,1.837,115935.828,-14.518
default,1763201126,111897,932.475,1.842,115819.833,-14.613
default,1763201733,110355,919.625,1.163,115864.263,-13.367
default,1763201896,103100,859.167,0.892,115786.809,-5.508
default,1763202525,97292,810.767,1.628,115886.260,0.038
default,1763202846,97066,808.883,0.943,115894.615,0.037
default,1763203160,96272,802.267,4.441,115078.683,1.301
default,1763203299,236586,1971.550,1.611,115851.013,0.046
default,1763203544,236393,1969.942,1.362,115831.789,0.048
default,1763203698,236906,1974.217,1.200,115822.007,0.038
default,1763204185,235107,1959.225,1.520,115827.200,0.054
default,1763204514,235870,1965.583,1.418,115871.362,0.050
default,1763204693,49408,411.733,1.097,115898.724,0.069
default,1763205928,11544,96.200,1.195,115850.142,66.632
default,1763206269,11448,95.400,0.890,115632.466,66.642
default,1763206445,11626,96.883,0.636,115860.874,66.668
default,1763206652,11497,95.808,1.177,115837.588,66.661
default,1763223748,234766,1956.383,1.517,115749.504,0.051
default,1763224140,237801,1981.675,0.836,115810.080,0.036
default,1763224382,459000,3825.000,1.368,115815.615,0.064
default,1763224706,49714,414.283,1.054,115822.146,0.046
default,1763225183,49461,412.175,7.341,115894.533,0.067
default,1763225826,14926,124.383,75.285,115809.165,69.491
default,1763226048,49451,412.092,0.907,115897.179,0.028
default,1763226226,48545,404.542,0.978,115793.603,0.064
default,1764878679,49381,411.508,1.085,115839.293,0.020
default,1764878849,49428,411.900,1.120,115818.542,0.012
default,1764879015,49344,411.200,0.903,115846.443,0.008
default,1764879813,49388,411.567,1.144,115843.192,0.018
default,1764884449,49401,411.675,1.389,115824.707,0.018
default,1764884727,453907,3782.558,1.016,115855.056,0.053
default,1764884907,470545,3921.208,0.899,115803.639,0.049
default,1764885081,832252,6935.433,0.851,115301.740,3.298
default,1764915244,826036,6883.633,0.805,115772.898,3.746
default,1764915423,822284,6852.367,0.954,115839.198,3.726
default,1764915564,833687,6947.392,0.802,115793.211,3.685
default,1764915784,832120,6934.333,0.930,115820.286,3.614
default,1764916141,833548,6946.233,1.022,115681.645,3.604
default,1764916328,49116,409.300,1.517,115784.303,0.010
default,1764918025,854153,7117.942,0.860,115676.949,19.597
default,1764918164,49271,410.592,0.971,115811.295,0.012
default,1764918328,469375,3911.458,0.926,115795.385,0.048
default,1764918736,468490,3904.083,0.926,115808.962,0.051
default,1764918921,469243,3910.358,0.971,115812.315,0.050
